symbol,timestamp,open,high,low,close,volume
GME,2020-12-31T11:00:00Z,19.44,19.49,18.96,19.05,705388
GME,2020-12-31T12:00:00Z,19.04,19.4599,19.03,19.37,921032
GME,2020-12-31T13:00:00Z,19.3701,19.8,19.34,19.72,767556
GME,2020-12-31T14:00:00Z,19.73,19.7499,19.33,19.46,372734
GME,2020-12-31T15:00:00Z,19.46,19.47,18.905,18.99,796981
GME,2020-12-31T16:00:00Z,18.98,19.04,18.8,18.81,1082268
GME,2020-12-31T17:00:00Z,18.8302,18.9598,18.29,18.8,994483
GME,2020-12-31T18:00:00Z,18.8,19.1,18.65,19.1,15527
GME,2020-12-31T19:00:00Z,18.8,18.95,18.8,18.87,3923
GME,2020-12-31T20:00:00Z,18.95,18.95,18.88,18.88,542
GME,2021-01-04T05:00:00Z,19.1,19.4,19.1,19.4,1695
GME,2021-01-04T07:00:00Z,19.42,19.42,19.35,19.35,1109
GME,2021-01-04T08:00:00Z,19.25,19.25,19,19,6719
GME,2021-01-04T09:00:00Z,19.074,19.1499,18.9,18.96,16561
GME,2021-01-04T10:00:00Z,18.97,19.1,17.3501,17.425,1677931
GME,2021-01-04T11:00:00Z,17.425,18.11,17.15,17.52,2675453
GME,2021-01-04T12:00:00Z,17.5375,17.72,17.26,17.585,1564781
GME,2021-01-04T13:00:00Z,17.585,17.82,17.44,17.67,798625
GME,2021-01-04T14:00:00Z,17.665,17.69,17.48,17.5711,607281
GME,2021-01-04T15:00:00Z,17.58,17.62,17.36,17.405,789633
GME,2021-01-04T16:00:00Z,17.41,17.55,17.22,17.24,1658791
GME,2021-01-04T17:00:00Z,17.25,17.53,17.2202,17.37,9062
GME,2021-01-04T18:00:00Z,17.47,17.49,17.4,17.4,6193
GME,2021-01-04T19:00:00Z,17.47,17.5,17.47,17.47,1303
GME,2021-01-04T20:00:00Z,17.5,17.51,17.37,17.37,1226
GME,2021-01-05T05:00:00Z,17.25,17.25,17.25,17.25,112
GME,2021-01-05T07:00:00Z,17.5,17.5,17.5,17.5,890
GME,2021-01-05T08:00:00Z,17.7,17.7,17.29,17.3,2696
GME,2021-01-05T09:00:00Z,17.2801,17.55,17.06,17.1001,27577
GME,2021-01-05T10:00:00Z,17.11,18.0765,17.08,17.7,1003508
GME,2021-01-05T11:00:00Z,17.76,17.84,17.51,17.55,820042
GME,2021-01-05T12:00:00Z,17.56,17.7,17.45,17.555,440352
GME,2021-01-05T13:00:00Z,17.56,17.66,17.525,17.64,351796
GME,2021-01-05T14:00:00Z,17.66,17.66,17.39,17.4897,665838
GME,2021-01-05T15:00:00Z,17.49,17.5699,17.23,17.267,507852
GME,2021-01-05T16:00:00Z,17.255,17.54,17.24,17.36,1019773
GME,2021-01-05T17:00:00Z,17.37,17.52,17.37,17.48,15907
GME,2021-01-05T18:00:00Z,17.48,17.49,17.37,17.49,19135
GME,2021-01-05T19:00:00Z,17.4,17.5,17.4,17.49,4927
GME,2021-01-05T20:00:00Z,17.53,17.7,17.53,17.58,5660
GME,2021-01-06T05:00:00Z,17.51,17.51,17.3,17.3,250
GME,2021-01-06T06:00:00Z,17.27,17.27,17.27,17.27,277
GME,2021-01-06T08:00:00Z,17.48,17.57,17.48,17.57,1486
GME,2021-01-06T09:00:00Z,17.4119,17.65,17.4,17.55,12127
GME,2021-01-06T10:00:00Z,17.54,17.95,17.33,17.605,662645
GME,2021-01-06T11:00:00Z,17.605,18.48,17.54,18.4,1154779
GME,2021-01-06T12:00:00Z,18.4,18.73,18.3,18.68,896120
GME,2021-01-06T13:00:00Z,18.68,18.98,18.52,18.7844,627794
GME,2021-01-06T14:00:00Z,18.775,18.88,18.7201,18.815,403015
GME,2021-01-06T15:00:00Z,18.83,18.98,17.62,18.23,1136380
GME,2021-01-06T16:00:00Z,18.22,18.43,18.08,18.39,940513
GME,2021-01-06T17:00:00Z,18.32,18.36,17.98,18.3,11172
GME,2021-01-06T18:00:00Z,18.3,18.8,18.29,18.8,15918
GME,2021-01-06T19:00:00Z,18.8,18.8,18.46,18.51,3513
GME,2021-01-06T20:00:00Z,18.47,18.72,18.46,18.6999,8761
GME,2021-01-07T06:00:00Z,18.98,19.03,18.98,19.03,527
GME,2021-01-07T07:00:00Z,19.08,19.08,19,19,625
GME,2021-01-07T08:00:00Z,18.84,19,18.83,19,4500
GME,2021-01-07T09:00:00Z,18.85,19.11,18.8,19,24706
GME,2021-01-07T10:00:00Z,18.98,19.45,18.45,19.4001,992969
GME,2021-01-07T11:00:00Z,19.4,19.44,18.78,18.85,954349
GME,2021-01-07T12:00:00Z,18.88,18.9032,18.43,18.56,737188
GME,2021-01-07T13:00:00Z,18.57,18.82,18.545,18.575,562262
GME,2021-01-07T14:00:00Z,18.5863,18.655,18.36,18.39,363160
