,BB,BB,BB,BB,BB,BB,AMC,AMC,AMC,AMC,AMC,AMC,GME,GME,GME,GME,GME,GME
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2020-12-10,8.319999694824219,8.390000343322754,8.3100004196167,8.369999885559082,8.369999885559082,1313875,4.045000076293945,4.090000152587891,4.019999980926514,4.090000152587891,4.090000152587891,2182126,14.225000381469727,14.25,14.0649995803833,14.119999885559082,14.119999885559082,951755
2020-12-11,8.300000190734863,8.329999923706055,8.15999984741211,8.21500015258789,8.21500015258789,2407165,4.039999961853027,4.25,3.9000000953674316,4.071300029754639,4.071300029754639,9537630,13.90999984741211,14.0,13.399999618530273,13.640000343322754,13.640000343322754,1632928
2020-12-11,8.210000038146973,8.220000267028809,8.024999618530273,8.06149959564209,8.06149959564209,2713346,4.074999809265137,4.110000133514404,3.9700000286102295,3.97979998588562,3.97979998588562,3415503,13.631099700927734,13.631099700927734,13.279999732971191,13.319999694824219,13.319999694824219,1376137
2020-12-11,8.06309986114502,8.100000381469727,7.96999979019165,8.0177001953125,8.0177001953125,1960929,3.9769999980926514,4.0,3.869999885559082,3.9200000762939453,3.9200000762939453,3470263,13.3100004196167,13.40999984741211,13.09000015258789,13.175000190734863,13.175000190734863,1112229
2020-12-11,8.020000457763672,8.074999809265137,7.960000038146973,8.050100326538086,8.050100326538086,1176063,3.924999952316284,3.990000009536743,3.9000000953674316,3.979300022125244,3.979300022125244,1276658,13.171099662780762,13.350000381469727,13.020000457763672,13.348899841308594,13.348899841308594,716774
2020-12-11,8.051199913024902,8.109999656677246,8.039999961853027,8.109999656677246,8.109999656677246,880423,3.9749999046325684,3.990000009536743,3.950000047683716,3.9749999046325684,3.9749999046325684,983932,13.345000267028809,13.470000267028809,13.279999732971191,13.460399627685547,13.460399627685547,627738
2020-12-11,8.100099563598633,8.175000190734863,8.100000381469727,8.130000114440918,8.130000114440918,991707,3.9749999046325684,4.019999980926514,3.930000066757202,3.944999933242798,3.944999933242798,1563813,13.460000038146973,13.640000343322754,13.431099891662598,13.5,13.5,613311
2020-12-11,8.135000228881836,8.1899995803833,8.119999885559082,8.15999984741211,8.15999984741211,1316116,3.9488000869750977,3.9600000381469727,3.9100000858306885,3.927999973297119,3.927999973297119,1576475,13.49940013885498,13.5,13.260000228881836,13.3100004196167,13.3100004196167,1189402
2020-12-14,8.279999732971191,8.539999961853027,8.25,8.504799842834473,8.504799842834473,5363410,4.010000228881836,4.010000228881836,3.0,3.308000087738037,3.308000087738037,37251136,13.34000015258789,13.433500289916992,12.140000343322754,12.199999809265137,12.199999809265137,3656256
2020-12-14,8.500100135803223,8.569999694824219,8.3149995803833,8.350000381469727,8.350000381469727,2498285,3.3099000453948975,3.430000066757202,3.1500000953674316,3.1500000953674316,3.1500000953674316,11213326,12.203200340270996,12.528900146484375,12.194999694824219,12.521100044250488,12.521100044250488,1870436
2020-12-14,8.354999542236328,8.367500305175781,8.220000267028809,8.225000381469727,8.225000381469727,1310628,3.1512999534606934,3.2799999713897705,3.1500000953674316,3.265000104904175,3.265000104904175,5804268,12.520000457763672,12.920000076293945,12.520000457763672,12.779999732971191,12.779999732971191,898989
2020-12-14,8.228500366210938,8.25,8.164999961853027,8.199999809265137,8.199999809265137,1425922,3.2679998874664307,3.299999952316284,3.2300000190734863,3.2699999809265137,3.2699999809265137,3435772,12.780099868774414,12.949999809265137,12.67609977722168,12.829999923706055,12.829999923706055,504408
2020-12-14,8.204999923706055,8.260000228881836,8.1899995803833,8.220000267028809,8.220000267028809,1039598,3.2792999744415283,3.309999942779541,3.2300000190734863,3.2588000297546387,3.2588000297546387,2348931,12.829999923706055,13.09000015258789,12.819999694824219,12.895000457763672,12.895000457763672,809056
2020-12-14,8.225000381469727,8.289999961853027,8.170000076293945,8.274999618530273,8.274999618530273,1344456,3.255000114440918,3.259999990463257,3.190000057220459,3.2049999237060547,3.2049999237060547,3155881,12.899999618530273,12.970000267028809,12.779999732971191,12.859999656677246,12.859999656677246,1101204
2020-12-14,8.270000457763672,8.300000190734863,8.244999885559082,8.256400108337402,8.256400108337402,1322824,3.2049999237060547,3.2100000381469727,3.1600000858306885,3.194999933242798,3.194999933242798,3275400,12.850000381469727,12.850000381469727,12.710000038146973,12.720000267028809,12.720000267028809,676438
2020-12-15,8.359999656677246,8.390000343322754,8.085000038146973,8.108099937438965,8.108099937438965,2709687,3.240000009536743,3.240000009536743,3.0,3.0018999576568604,3.0018999576568604,12283041,12.779999732971191,13.069999694824219,12.54010009765625,12.890000343322754,12.890000343322754,1215353
2020-12-15,8.101499557495117,8.244999885559082,8.085000038146973,8.199999809265137,8.199999809265137,1328248,3.007200002670288,3.009999990463257,2.759999990463257,2.7999000549316406,2.7999000549316406,18279101,12.890000343322754,13.119999885559082,12.729999542236328,12.970000267028809,12.970000267028809,788082
2020-12-15,8.199999809265137,8.239999771118164,8.140000343322754,8.141900062561035,8.141900062561035,1086746,2.799999952316284,2.9000000953674316,2.7799999713897705,2.879499912261963,2.879499912261963,7163849,12.970000267028809,13.4350004196167,12.970000267028809,13.414999961853027,13.414999961853027,940734
2020-12-15,8.148599624633789,8.239999771118164,8.140000343322754,8.218899726867676,8.218899726867676,911011,2.875,2.880000114440918,2.799999952316284,2.8087000846862793,2.8087000846862793,4989875,13.420000076293945,13.770000457763672,13.220000267028809,13.729999542236328,13.729999542236328,1218439
2020-12-15,8.220000267028809,8.25,8.180000305175781,8.21500015258789,8.21500015258789,968984,2.805000066757202,2.8399999141693115,2.799999952316284,2.825000047683716,2.825000047683716,3581961,13.749899864196777,14.020000457763672,13.5600004196167,13.829999923706055,13.829999923706055,1960154
